time/s	Ewe/V	
2.546429736223363E+003	2.5704390E-001
2.546429936223358E+003	2.4480501E-001
2.546430536223343E+003	2.3413177E-001
2.546590536219301E+003	1.9966811E-001
2.546590736219296E+003	1.1126548E-001
2.556590735966674E+003	1.0897426E-001
2.566590735714053E+003	1.0815325E-001
2.576590735461432E+003	1.0813416E-001
2.586590735208811E+003	1.0750407E-001
2.596590734956189E+003	1.0779047E-001
2.606590734703568E+003	1.0786685E-001
2.616590734450947E+003	1.0681671E-001
2.626590734198326E+003	1.0683580E-001
2.636590733945704E+003	1.0771410E-001
2.646590733693083E+003	1.0725585E-001
2.656590733440462E+003	1.0813416E-001
2.666590733187841E+003	1.0588112E-001
2.676590732935219E+003	1.0738951E-001
2.686590732682598E+003	1.0649212E-001
2.696590732429977E+003	1.0696945E-001
2.706590732177356E+003	1.0603388E-001
2.716590731924734E+003	1.0641574E-001
2.726590731672113E+003	1.0540380E-001
2.736590731419492E+003	1.0633937E-001
2.746590731166871E+003	1.0679761E-001
2.756590730914249E+003	1.0626300E-001
2.766590730661628E+003	1.0681671E-001
2.776590730409007E+003	1.0603388E-001
2.786590730156386E+003	1.0536560E-001
2.796590729903764E+003	1.0567110E-001
2.806590729651143E+003	1.0569020E-001
2.816590729398522E+003	1.0637756E-001
2.826590729145901E+003	1.0513648E-001
2.836590728893279E+003	1.0582384E-001
2.846590728640658E+003	1.0494555E-001
2.856590728388037E+003	1.0528923E-001
2.866590728135416E+003	1.0641574E-001
2.876590727882794E+003	1.0561382E-001
2.886590727630173E+003	1.0464005E-001
2.896590727377552E+003	1.0593841E-001
2.906590727124931E+003	1.0439184E-001
2.916590726872309E+003	1.0389541E-001
2.926590726619688E+003	1.0475461E-001
2.936590726367067E+003	1.0362810E-001
2.946590726114446E+003	1.0511739E-001
2.956590725861824E+003	1.0439184E-001
2.966590725609203E+003	1.0479280E-001
2.976590725356582E+003	1.0435365E-001
2.986590725103961E+003	1.0406725E-001
2.996590724851339E+003	1.0437275E-001
3.006590724598718E+003	1.0422000E-001
3.016590724346097E+003	1.0425819E-001
3.026590724093476E+003	1.0475461E-001
3.036590723840854E+003	1.0322714E-001
3.046590723588233E+003	1.0294074E-001
3.056590723335612E+003	1.0385723E-001
3.066590723082991E+003	1.0259706E-001
3.076590722830369E+003	1.0282618E-001
3.086590722577748E+003	1.0208154E-001
3.096590722325127E+003	1.0316986E-001
3.106590722072506E+003	1.0349445E-001
3.116590721819884E+003	1.0328442E-001
3.126590721567263E+003	1.0273071E-001
3.136590721314642E+003	1.0194788E-001
