time	intensity	norm_intensity	experiment	compound	nucleus	type	insituCu	cellsetup	Cutreatment	peak
0	NA	NA	1	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
297.22699999809265	NA	NA	2	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
587.5629999637604	NA	NA	3	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
877.960000038147	NA	NA	4	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
1168.3469998836517	NA	NA	5	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
1458.4830000400543	NA	NA	6	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
1749.0999999046326	NA	NA	7	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
2039.0759999752045	NA	NA	8	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
2329.292999982834	1347830.3124985085	0.049787926353867674	9	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
2619.5299999713898	1263137.6495344136	0.046659437532042075	10	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
2909.7860000133514	1162061.4026595678	0.04292575036915172	11	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
3200.2249999046326	1102252.374799279	0.04071644594351931	12	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
3490.3389999866486	1033970.3178599332	0.038194153641096774	13	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
3780.2960000038147	996442.7574397896	0.036807911324751405	14	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
4070.5230000019073	984915.6157785589	0.03638210662606046	15	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
4361.128999948502	944506.444719027	0.034889419591144825	16	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
4651.345999956131	1174093.9309576275	0.04337022370322009	17	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
4941.693000078201	968443.558511769	0.035773640139967436	18	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
5231.90700006485	1082179.4115849703	0.03997496446402557	19	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
5525.1159999370575	1068846.7229473232	0.03948246409967355	20	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
5813.082000017166	1043098.6792821665	0.038531349044707446	21	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
6103.289000034332	1045090.0913883727	0.03860491044065217	22	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
6393.895999908447	973988.7288229783	0.03597847492407491	23	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
6683.891999959946	1628253.8276917187	0.060146578472657815	24	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
6974.519000053406	1084808.7998083706	0.04007209225971946	25	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
7264.865000009537	938897.5581131998	0.03468223117086033	26	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
7555.092000007629	889611.4927838594	0.03286163775629292	27	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
7845.108999967575	871255.9500641947	0.03218359661072925	28	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
8135.486000061035	622396.8285716474	0.022990911523842344	29	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
8425.611999988556	882018.9910114963	0.03258117595366193	30	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
8715.858999967575	994157.3745338365	0.03672349084929775	31	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
9006.197999954224	746409.7841146587	0.027571864957109	32	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
9296.512000083923	1149237.389521963	0.04245204012852616	33	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
9586.979000091553	1307911.0456911603	0.04831333604567052	34	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
9877.335999965668	1478277.4343714686	0.05460655347380947	35	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
10170.693000078201	1598909.8481946436	0.05906263201694891	36	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
10458.098999977112	1474274.5320345764	0.05445868900978694	37	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
10748.575999975204	1550499.5870805844	0.057274390208786614	38	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
11095.06200003624	1594074.6234414184	0.0588840221343208	39	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
11492.21799993515	1917893.2996248053	0.0708456617059514	40	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
11934.302999973297	1902170.4757664674	0.07026487138755987	41	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
12412.667000055313	2114852.2358122896	0.07812118958116339	42	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
12892.731999874115	2136507.8518052744	0.07892113316768778	43	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
13183.269000053406	2281351.642305728	0.08427156334230193	44	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
13473.494999885559	2358064.219663861	0.08710527328078971	45	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
13763.582999944687	2316120.1240834724	0.0855558871879181	46	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
14053.928999900818	2474533.5170641155	0.09140756916156809	47	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 2
